Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Banda do Recreio ;Recreio dos Bandeirantes;Barra/JPA;11/02/2018;Domingo de Carnaval;13:00:00;14:00:00;19:00:00;Posto 10;Posto 10 do Recreio ao Posto 9.;3.000;2005;
Banda Du Rio;Copacabana ;Zona Sul;11/02/2018;Domingo de Carnaval;08:00:00;10:00:00;14:00:00;Posto 6 de Copacabana;Segue pela Av. Atlântica até altura da Rua Miguel Lemos;5.000;2017;
Bangalafumenga ;Aterro do Flamengo;Zona Sul;11/02/2018;Domingo de Carnaval;08:00:00;10:00:00;14:00:00;Próximo ao Monumento dos Pracinhas ;Parado ;60.000;1998;
Batalha dos Blocos;Recreio dos Bandeirantes;Barra/JPA;11/02/2018;Domingo de Carnaval;16:00:00;16:00:00;20:00:00;Praia do Recreio Posto 10;Parado;4.000;2017;
Birita mas num cai ;Madureira;Zona Norte 1;11/02/2018;Domingo  de Carnaval;15:00:00;17:00:00;21:00:00;Bar do Julio Fragoso;Início: Julio Fragoso, Clara Nunes, Estrada do Portela – Retorno: Praça Paulo Portela, Estrada do Portela, Clara Nunes, Julio Fragoso. ;600;2017;
Bloco Boemios do Catruz;Pedra de Guaratiba;Zona Oeste;11/02/2018;Domingo de carnaval;21:00:00;21:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2010;
Bloco Chega Mais ;Piedade;Zona Norte 2;11/02/2018;Domingo de Carnaval;15:30:00;16:00:00;21:00:00;Rua Padre Manoel da Nóbrega;Início: Padre Manoel de Nobrega Nº114, Av Dom Helder Câmara por 600 metros, retorna no sentido Cascadura ;3.500;2004;
Bloco Confetes e Serpentinas ;Pedra de Guaratiba;zona oeste;11/02/2018;Domingo de Carnaval;19:00:00;20:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2016;
Bloco da Chaleira do Vidigal;Leblon ;Zona Sul;11/02/2018;Domingo de Carnaval;14:00:00;15:00:00;18:00:00;Av. Delfim Moreira esquina com Jardim de Alah;Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12);700;1995;
Bloco da Coroinha;Pedra de Guaratiba;Zona Oeste;11/02/2018;Domingo de Carnaval;17:00:00;18:00:00;20:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão n°216 ao n°579;200;2007;
"Bloco do Boi ""Só Falta Você!""";Pedra de Guaratiba;Zona Oeste;11/02/2018;Domingo de Carnaval;18:00:00;18:50:00;22:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão até o final da rua;200;2010;
Bloco do Pente;Ilha do Governador;Zona Norte 3;11/02/2018;Domingo de Carnaval;16:00:00;16:00:00;20:00:00;Praça dos Bancários;Praça dos Bancários, Av. das Enxadas, Praia dos Bancários;1.500;2014;
Bloco dos Palhacinhos;Brás de Pina;Zona Norte 1;11/02/2018;Domingo de Carnaval;16:00:00;19:30:00;22:00:00;Estrada do Quitungo, 1221;Estrada do Quitungo, do nº 1221 ate no 1970 e retorna a origem.;800;2015;
Bloco Quilombo Cafundá Astrogilda ;Vargem Grande;Barra/JPA;11/02/2018;Domingo de Carnaval;15:00:00;18:00:00;21:00:00;Concentração na comunidade Quilombo Astrogilda;Concentração na comunidade Quilombo Astrogilda, núcleo Cafunda Dramice, Bar Cantinho da Serra, Bar do na Boa e finalizando pela estrada do Macuiba até o largo de Vargem Grande ;200;2017;
Bloco Só Te Pegando ;Barra da Tijuca;Barra/JPA;11/02/2018;domingo de carnaval;15:00:00;17:00:00;21:00:00;av. Lucio Costa posto 5 ;Parado;500;2010;
Boi de Anchieta ;Anchieta;Zona Norte 1;11/02/2018;Domingo de Carnaval;16:00:00;18:00:00;22:00:00;Praça Nossa Senho de Nazaré;Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré ;2.000;1945;
Bonecas Deslumbradas de Olaria;Olaria;Zona Norte 3;11/02/2018;Domingo de Carnaval;16:00:00;18:00:00;20:00:00;Rua Conselheiro Paulino, nº 567;Rua Conselheiro Paulino, Rua Antônio Rêgo, Rua Lígia, Rua Wandelkok e Rua Conselheiro Paulino;4.000;1977;
Buda da Barra;Barra da Tijuca;Barra/JPA;11/02/2018;Domingo de Carnaval;09:00:00;13:00:00;15:00:00;Em frente ao condomíno Beton (Bondinho da Barra);Saindo do Bondinho da Barra até a Praça do Ó ;1.000;1970;
Cabrito Mamador;Ilha do Governador;Zona Norte 3;11/02/2018;Domingo de Carnaval;10:00:00;12:00:00;16:00:00;Rua São Sebastião;Estrada do Dendê, Rua Prof. Hilarião da Rocha, Rua Capanema, Av. Paranapuan, Estrada do Dendê e Rua São Sebastião;1.500;2017;
Cachorro Cansado;Flamengo ;Zona Sul;11/02/2018;Domingo de Carnaval;16:00:00;18:00:00;22:00:00;Praça José de Alencar;Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar;10.000;1987;
Caldeirão do Coqueiro;Santíssimo;Zona Oeste;11/02/2018;Domingo de Carnaval;16:00:00;20:00:00;22:00:00;Praça do Coqueiro;Parado;500;2010;
Cantinho do Urubu;Madureira;Zona Norte 1;11/02/2018;Domingo de Carnaval;20:00:00;20:00:00;22:00:00;Estrada do Portela, em frente ao nº 350;Parado;1.000;2013;
Choppinho da Paula Freitas com Boca Maldita;Copacabana ;Zona Sul;11/02/2018;Domingo de Carnaval;16:00:00;17:00:00;22:00:00;Rua Paula Freitas, esquina com Avenida Atlântica;Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem. ;2.000;1994;
Clubinho do Samba;Méier;Zona Norte 2;11/02/2018;Domingo de Carnaval;11:00:00;12:00:00;14:00:00;Parado em frente ao Imperator - Dias da Cruz 170;Parado;500;2015;
Coração das Crianças;Rocinha;Zona Sul;11/02/2018;Domingo de Carnaval;18:00:00;20:00:00;22:00:00;Rua Nova (antiga Rua 4), esquina com Estrada da Gávea;Rua 4 até Cidade Nova ;600;1978;
Cordão do Boitatá;Centro;Centro;11/02/2018;Domingo  de Carnaval;11:00:00;11:00:00;17:00:00;Praça XV  ;Parado;50.000;1997;
Deita Mas Não Dorme ;Taquara;Barra/JPA;11/02/2018;Domingo de Carnaval;14:00:00;16:00:00;20:00:00;Rua Caituba ;Parado;500;2009;
É do Pandeiro!;Laranjeiras ;Zona Sul;11/02/2018;Domingo de Carnaval;15:00:00;15:00:00;20:00:00;Praça São Salvador;Parado;300;2002;
Explosão de Paquetá;Ilha de Paquetá;Centro;11/02/2018;Domingo de Carnaval;14:00:00;16:00:00;19:30:00;Praça São Roque;Rua Padre Juvenal, Rua Dr. Aristão, Curva da Pedra, Rua José Bonifácio, Rua Furkin Werneck, Praça das Barcas.;600;2018;
Fanfarani;Botafogo ;Zona Sul;11/02/2018;Domingo de Carnaval;15:00:00;15:00:00;21:00:00;Praça Chaim Weizman;Praça Chaim Weizman - Parado;850;2009;
Fanfinha;Botafogo ;Zona Sul;11/02/2018;Domingo de Carnaval;09:00:00;10:00:00;13:00:00;Praça Chaim Weizman;Praça Chaim Weizman - Parado;600;2011;
Folia do Galo;Copacabana ;Zona Sul;11/02/2018;Domingo de Carnaval;13:00:00;16:00:00;19:00:00;Rua Julio de Castilho  esquina com Rua Raul Pompéia;R. julio de castilho, raul pompeia, Rua francisco otaviano, av. atlantica esquina c/ julio de castilho;4.000;2009;
Fome Zero;Madureira;Zona Norte 1;11/02/2018;Domingo de Carnaval;14:00:00;15:00:00;20:00:00;Rua Dagmar da Fonseca;Rua Dagmar da Fonseca, Av. Edgard Ramero, Est. Do Portela, e retorna a origem.;1.000;2009;
Gladiadores de Copacabana;Copacabana ;Zona Sul;11/02/2018;Domingo de Carnaval;14:00:00;16:00:00;19:00:00;Avenida Atlântica, esquina com Rua Constante Ramos;Avenida Atlântica, da Rua Constante Ramos até a Rua Hilário de Gouveia;2.000;2007;
Império da Folia;Catete ;Zona Sul;11/02/2018;Domingo de Carnaval;16:00:00;17:00:00;22:00:00;Rua Bento Lisboa, nº 76;Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete, Rua Pedro Américo e Rua Bento Lisboa até a esquina da Tavares Bastos;800;2003;
Laranjada Samba Clube;Laranjeiras ;Zona Sul;11/02/2018;Domingo de Carnaval;09:00:00;11:00:00;15:00:00;Praça Jardim Laranjeiras - Rua General Glicério;Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras;900;2003;
Marcha Nerd;Tijuca ;Tijuca e Adj;11/02/2018;Domingo de Carnaval;14:00:00;15:00:00;18:00:00;Praça Xavier de Brito;Parado;900;2013;
Maresia;Botafogo ;Zona Sul;11/02/2018;Domingo de Carnaval;11:00:00;11:00:00;14:00:00;Enseada de Botafogo;PARADO;200;2016;
Mau Mau de Bangu;Bangu;Zona Oeste;11/02/2018;Domingo de Carnaval;17:00:00;19:00:00;22:00:00;Rua Acanto, esquina com Rua Ajuará;Rua Acanto, Rua Ajuará, Rua Minuanos, Rua Imaruí, Rua da Fábrica, Rua dos Açudes, Rua Oliveira Ribeiro, Rua Bangu, Rua Santa Cecília e Praça da Fé;500;1997;
Mocidade de Santíssimo;Santíssimo;Zona Oeste;11/02/2018;Domingo de Carnaval;19:00:00;21:00:00;22:00:00;Rua Augusto Brandão ;Concentração Augusto Brandão e dando início ao desfile na rua Teixeira Campos e terminando na Rua Alves Dias ;1.000;2016;
Perereca do Grajaú;Grajaú;Tijuca e Adj;11/02/2018;Domingo de Carnaval;16:00:00;18:00:00;20:30:00;Praça Edmundo Rego;Avenida Engenheiro Richard, atravessa a Barão do Bom Retiro, Rua Teodoro da Silva, Rua José Vicente, Rua Meira de Vasconcelos, Rua Farias de Brito e Largo do Verdun;1.000;1977;
Piranhas da Senador Nabuco;Vila isabel ;Tijuca e Adj;11/02/2018;Domingo de Carnaval;16:00:00;18:00:00;22:00:00;Praça Barão de Drummond;Boulevard 28 de Setembro, da Praça Barão de Drummond até esquina com Rua Visconde de Abaeté, retornando pelo Boulevard 28 de Setembro, Rua Luis Barbosa, Rua Torres Homem e Praça Noel Rosa;1.000;1980;
Porre Certo;Praça Seca;Barra/JPA;11/02/2018;Domingo de Carnaval;14:00:00;17:00:00;19:00:00;Rua Carimã, esquina com Rua Parintins;Rua Parintins, Rua Florianópolis, Rua Urucuia, Rua Luiz Beltrão, Rua Parintins e Rua Carimã;500;2003;
Que Merda é Essa?!;Ipanema ;Zona Sul;11/02/2018;Domingo de Carnaval;10:00:00;14:30:00;16:00:00;Rua Garcia D'avila, esquina com Rua Nascimento Silva;Rua Garcia D'avila, Avenida Vieira Souto, seguindo até O Jardim de Alah;2.000;1995;
Queima de Bangu;Bangu;Zona Oeste;11/02/2018;Domingo de Carnaval;16:00:00;20:00:00;22:00:00;Rua Agrícola ; Rua Santa Cecília, seguindo até a Rua Fonseca (Dispersão);500;1957;
Quem Me Viu Mentiu;Ilha do Governador;Zona Norte 3;11/02/2018;Domingo de Carnaval;14:00:00;16:00:00;20:00:00;Praça Jerusalem;Segue pela Praia da Bica Av. Alm. Alves Câmara Junior até o numero 986;2.000;2017;
Quer Swingar Vem Pra Cá;Vila isabel ;Tijuca e Adj;11/02/2018;Domingo de Carnaval;09:00:00;11:00:00;14:00:00;Praça Barão de Drumond;Parado;1.000;2018;
Raízes da Vila da Penha;Vila da Penha;Zona Norte 1;11/02/2018;Domingo de Carnaval;13:00:00;14:00:00;19:00:00;Rua São João Gualberto;Rua São João Gualberto, Rua General Silveira Sobrinho, Rua Oliveira Belo,  Rua Alice Tibiriça e Rua São João Gualberto;900;2007;
Simpatia é Quase Amor;Ipanema ;Zona Sul;11/02/2018;;14:00:00;16:00:00;20:00:00;Teixeira de Melo – Praia;Rua Teixeira de Melo e Avenida Vieira Souto até a Henrique Dumont;300.000;1985;
Só Cachaça;Santo Cristo;Centro;11/02/2018;Domingo de Carnaval;16:00:00;17:00:00;22:00:00;Rua Nabuco de Freitas;Rua Nabuco de Freitas (ida e volta);500;2013;
Thriller Elétrico;Vila isabel ;Tijuca e Adj;11/02/2018;Domingo de Carnaval;08:00:00;10:00:00;13:00:00;Praça Barão de Drummond;Parado;3.000;2013;
Toca Rauuul!;Centro;Centro;11/02/2018;Domingo de Carnaval;14:00:00;16:00:00;20:00:00;Praça Tiradentes;PARADO;1.000;2012;
Toco-Xona;Flamengo ;Zona Sul;11/02/2018;Domingo de Carnaval;10:00:00;12:00:00;16:00:00;Praia do Flamengo 340 (campo de terra);Parado;2.000;2008;
Toma Uma;Ilha de Paquetá;Centro;11/02/2018;Domingo de Carnaval;18:00:00;19:00:00;22:00:00;Praia da Moreninha;Praia da Moreninha, Rua Doutor Lacerda, Praia José Bonifácio, Praça Furquim Werneck e Praça Pintor Pedro Bruno;400;2005;
Vai Tomar no Azul;Engenho de Dentro;Zona Norte 2;11/02/2018;Domingo de Carnaval;15:00:00;15:00:00;21:00:00;Rua Pernambuco 874;Parado ;500;2009;
Vem Comigo  ;Vila Cosmos;Zona Norte 1;11/02/2018;Segunda-feira de Carnaval;14:00:00;17:30:00;19:00:00;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1.200;2000;
Vem Que Eu Te Abraço;Padre Miguel;Zona Oeste;11/02/2018;Domingo de Carnaval;12:00:00;14:00:00;17:00:00;Rua da Caridade 116;Saindo da Rua da Caridade, Rua Figueiredo e voltando para a Rua da Caridade ;800;2015;
Vermelho e Branco da Colônia Z-10;Ilha do Governador;Zona Norte 3;11/02/2018;Domingo de Carnaval;09:00:00;10:00:00;15:00:00;Praça São Pedro;Praça São Pedro, Praia do Jequiá, Rua Maldonado, Praça Iaiá Garcia, Rua Fernandes da Fonseca Rua Paramopama, Praia do Zumbi, Rua Pojuca, e Dispersão na Rua Rio Jequiá.;5.000;2003;
Virilha de Minhoca;Bangu;Zona oeste;11/02/2018;Domingode Carnaval;18:00:00;19:00:00;22:00:00;Rua Fonseca 1078;Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca;6.000;2002;
Xodó da Piedade;Piedade;Zona Norte 2;11/02/2018;Domingo de Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;Rua Mario Carpenter, Rua Leopoldina, Rua João Pinheiro, Av. Dom Helder Camara, Rua Ferreira Sampaio, Rua Ernesto Nunes, Angelina e finaliza na Rua Mario Carpenter ;1.500;1972;
Acabou o Amor;Ilha do Governador;Zona Norte 3;12/02/2018;Segunda-feira de Carnaval;18:00:00;18:00:00;21:00:00;Rua Domingos Mundin, em frente a Cedae;Rua Domingos Mundin e Rua Euzebio de Farias 26;500;2015;
Aconteceu;Santa Teresa;Centro;12/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Aurea ;Largo dos Guimarães, Rua Paschoal , Rua Carlos Magno, Rua Monte Alegre, Rua Aurea;1.000;2000;
Afoxé Filhos de Gandhi;Copacabana ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;19:00:00;Posto 6 de Copacabana;Av. Atlântica do Posto 6 ao Posto 4;2.000;1952;
Afoxé Raizes Africanas ;Copacabana ;Zona Sul;12/02/2018;Segunda de Carnaval;14:00:00;17:00:00;20:00:00;Posto 6 de Copacabana;Concentração Colonia dos pescadores, Xavier da Silveira;150;2007;
Afroreggae;Centro;Centro;12/02/2018;Segunda-feira de Carnaval;09:00:00;10:00:00;15:00:00;Presidente Antonio Carlos;Av. Presidente Antonio Carlos até a Rua Araujo Porto Alegre ;80.000;2006;
Alegria do São Bento ;Padre Miguel;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;17:00:00;18:00:00;20:00:00;Rua Sidney  ;Esquina da Rua Sidney Nº40, Rua Figueiredo camargo e retorna para a Rua Sidney Nº40;800;2014;
Amigos da Esquina de Madureira - Fla Esquina;Madureira;Zona Norte 1;12/02/2018;Segunda-feira de Carnaval;16:00:00;19:00:00;21:00:00;Praça de Magno ;Parado ;500;2017;
Arteiros da Glória;Glória ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;21:00:00;Rua da Glória, nº 190;Rua da Glória, Rua do Catete, Rua Antonio Mendes Campos, Largo da Glória, Av. Augusto Severo e Rua da Glória;2.000;2007;
Associação Carnavalesca Infiéis;Centro;Centro;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;22:00:00;Largo Alexandre Herculano - em frente ao Real Gabinete Português de Leitura;Parado;1.000;2008;
Balança Meu Catete;Catete ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;15:00:00;18:00:00;21:00:00;Rua do Catete 227;Rua do Catete, Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro e Rua do Catete, até a esquina com a Buarque de Macedo, retornando ao local de concentração;4.000;2011;
Balanço do Jamelão;Andaraí ;Tijuca e Adj;12/02/2018;Segunda-feira de Carnaval;16:00:00;18:00:00;20:00:00;Rua Botucatu, esquina com Rua Rosa e Silva;Rua Botucatu, Rua Rosa e Silva, Rua Caçapava, Rua Uberaba, Rua Botucatu, Rua Barão de Mesquita ;600;2007;
Bambas do Curuzu;São Cristóvão;Centro;12/02/2018;Segunda-feira de Carnaval;16:00:00;18:00:00;22:00:00;Rua Curuzu, nº 87;Rua Curuzu, Rua Alves Monte, Rua Coronel Cabrita, Praça Argentina, Rua Coronel Brandão e Rua Tuiuti - Curuzu;1.500;2007;
Banda Clube Nobre do Bairro Peixoto;Copacabana ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;11:00:00;11:00:00;15:00:00;Av. Atlântica, esquina com Rua Siqueira Campos;Parado;700;1997;
Banda da Amizade;Lapa;Centro;12/02/2018;Segunda-feira de Carnaval;15:00:00;17:00:00;21:00:00;Rua Tadeu Kosciusco;Parado;1.000;1999;
Banda da Constança Barbosa - Galo do Méier;Méier;Zona Norte 2;12/02/2018;Segunda-feira de Carnaval;15:00:00;18:00:00;21:00:00;Rua Constança Barbosa, em frente ao nº 212;Rua Constança Barbosa, Rua Manuela Barbosa, Rua Dias da Cruz, Rua Magalhães Couto e Rua Manuela Barbosa;1.000;2014;
Banda da Inválidos;Lapa;Centro;12/02/2018;Segunda-feira de Carnaval;16:30:00;18:30:00;22:00:00;Rua dos Inválidos, entre Av. Mem de Sá e Henrique Valadares;"Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Av.Henrique Valadares, Rua dos Inválidos;";1.000;1976;
Banda da Penha ;Penha;Zona Norte 1;12/02/2018;Segunda-feira de Carnaval;16:00:00;20:00:00;22:00:00;Largo da Rua Couto ;Parado;1.000;2014;
Banda de Ipanema Infantil;Ipanema ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;14:30:00;16:00:00;19:30:00;Praca General Osório;Praça General Osório - Parado;10.000;1965;
Banda do Riviera;Barra da Tijuca;Barra/JPA;12/02/2018;Segunda-feira de Carnaval;15:00:00;17:00:00;19:00:00;Rua Rosalinda Brant, Condomínio Riviera;Rua Rosalinda Brant, Rua Celso Kelly, Rua Afrânio Costa, Rua Professor Dulcídio Cardoso e Rua Rosalinda Brant;2.500;2007;
Banda Inimigos da Bebida ;Ilha do Governador;Zona Norte 3;12/02/2018;Segunda-feira de Carnaval;10:00:00;11:00:00;15:00:00;Praça Comandante Megé ;Saindo da Praça Comandante Magé, Rua Altinópolis, Beira da Praia da Bandeira, seguindo em direção ao Detran, dobrando no Fórum da Ilha do Governador e encerrando na Praça Comandante Megé ;900;2012;
Batalha dos Blocos;Recreio dos Bandeirantes;Barra/JPA;12/02/2018;Segunda-feira de Carnaval;10:00:00;10:00:00;14:00:00;Praia do Recreio Posto 10;Parado;4.000;2017;
Batucada Abençoada ;Copacabana ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;08:00:00;10:00:00;12:00:00;Concentração em Frente ao Forte de Copacabana ;Posto 6 ao posto 5;3.000;2018;
Bloco Afro Afoxé Ile Ala;Copacabana ;Zona Sul;12/02/2018;Segunda de Carnaval;14:00:00;15:00:00;18:00:00;Posto 6 de Copacabana;Av. Atlântica do Posto 6 ao Posto 4;500;2015;
Bloco Boemios do Catruz;Pedra de Guaratiba;Zona Oeste;12/02/2018;Segunda-feira de carnaval;21:00:00;21:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2010;
Bloco Chega Mais ;Piedade;Zona Norte 2;12/02/2018;Segunda-feira de Carnaval;15:30:00;16:00:00;21:00:00;Rua Padre Manoel da Nóbrega;Início: Padre Manoel de Nobrega Nº114, Av Dom Helder Câmara por 600 metros, retorna no sentido Cascadura ;3.500;2004;
Bloco Confetes e Serpentinas ;Pedra de Guaratiba;zona oeste;12/02/2018;Segunda-feira de Carnaval;19:00:00;20:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2016;
Bloco da Colônia Z-3;Ilha de Paquetá;Centro;12/02/2018;Segunda-feira de Carnaval;17:00:00;19:00:00;21:00:00;Praia José Bonifácio;Praia José Bonifácio, Rua Furquim Werneck e Praça Pintor Pedro Bruno;2.000;2012;
Bloco de Segunda;Humaitá ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;21:00:00;Rua Marques, atrás da Cobal do Humaitá;Rua Marques, Voluntários da Pátria, Rua Martins Ferreira, Rua São Clemente e Rua Marques;5.000;1987;
"Bloco do Boi ""Só Falta Você!""";Pedra de Guaratiba;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;18:00:00;18:50:00;22:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão até o final da rua;200;2010;
Bloco Estratégia;Centro;Centro;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;20:00:00;Largo de São Francisco de Paula;Parado;5.000;2012;
Bloco Virtual;Leme ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;08:30:00;09:00:00;13:30:00;Praça Almirante Julio de Noronha;Seque pela Av. Atlantica até a praça Julio de Noronha ;5.000;2001;
Boca Maldita;Copacabana ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;15:00:00;17:00:00;21:00:00;Rua Paula Freitas Esquina Com Av. Atlantica;Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem. ;3.000;1981;
Boêmios de Sepetiba;Sepetiba;Zona Oeste;12/02/2018;Terça-feira de Carnaval;18:00:00;20:00:00;22:00:00;Praia de Sepetiba (Bar do Zezinho);Praia de Sepetiba, Estrada São Tarcísio, Rua Paranabi, Rua Aristides Gouveia e Rua José Higaskino;500;2008;
Boi de Anchieta ;Anchieta;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;16:00:00;18:00:00;22:00:00;Praça Nossa Senho de Nazaré;Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré ;2.000;1945;
Caldeirão do Coqueiro;Santíssimo;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;16:00:00;20:00:00;22:00:00;Praça do Coqueiro;Parado;500;2010;
Cantinho do Urubu;Madureira;Zona Norte 1;12/02/2018;Segunda-feira de Carnaval;20:00:00;20:00:00;22:00:00;Estrada do Portela, em frente ao nº 350;Parado;1.000;2013;
Carvalho em Pé;Botafogo ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;10:00:00;12:00:00;16:00:00;Rua Visconde de Caravelas, em frente ao nº 22;PARADO;700;2011;
Chouriço Alegre;Oswaldo Cruz;Zona Norte 1;12/02/2018;Segunda-feira de Carnaval;14:00:00;16:00:00;18:00:00;Beco Henedina;Beco do henedina, rua Henrique de Melo, beco manoel aires , Beco do henedina.;200;2017;
Ciganas Feiticeiras de Olaria;Olaria;Zona Norte 3;12/02/2018;Segunda-feira de Carnaval;17:00:00;19:00:00;21:00:00;Rua Paranhos, esquina com João Rego;Rua João Rego, Rua Delfim Carlos, Rua Paranhos até origem.;1.000;1995;
Coração das Crianças;Rocinha;Zona Sul;12/02/2018;Segunda-feira de Carnaval;18:00:00;20:00:00;22:00:00;Rua Nova (antiga Rua 4), esquina com Estrada da Gávea;Rua 4 até Cidade Nova ;600;1978;
Cordão do Boitatá;Centro;Centro;12/02/2018;Segunda de Carnaval;11:00:00;11:00:00;17:00:00;Praça XV  ;Parado;50.000;1997;
Deita Mas Não Dorme ;Taquara;Barra/JPA;12/02/2018;Segunda-feira de Carnaval;14:00:00;16:00:00;20:00:00;Rua Caituba ;Parado;500;2009;
Dinossauros Nacionais;Centro;Centro;12/02/2018;Segunda-feira de Carnaval;12:00:00;13:00:00;16:00:00;Largo de São Francisco de Paula;Largo de São Francisco - Parado;5.000;2013;
Divas do Recreio;Recreio dos Bandeirantes;Barra/JPA;12/02/2018;Segunda-feira de Carnaval;15:00:00;16:30:00;21:00:00;Avenida Lucio Costa 16,304 (Quiosque Terapia);Avenida Lucio Costa, Segue até o Posto 9 e retorna a origem;3.000;2014;
Engata no Centro;Lapa;Centro;12/02/2018;Segunda-feira de Carnaval;15:00:00;17:00:00;19:00:00;Rua Ubaldino do Amaral entre Rua Carlos de Carvalho e Rua do Senado;Parado;500;2016;
Estica do Flamengo;Flamengo ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;16:00:00;18:00:00;21:00:00;Praça Sandro Moreira;Praça Sandro Moreira, Rua Marquês de Abrantes, Rua Marquês do Paraná, Rua Senador Vergueiro, Retrona na Praça José de Alencar com a Rua Marquês de Abrantes e finaliza na Praça Sandro Moreira;1.700;2008;
Fúria de Bangu;Bangu;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;15:00:00;19:00:00;21:00:00;Rua Boiobi;Rua Francisco Barreto, Rio Biobi, Silva  Rua Banguense, Rangel Pestana, Silva Cardoso, Santa Cecília, encerrando na praça da Fé.;500;2011;
Lagarto Mama de Campo Grande ;Campo Grande;Zona Oeste;12/02/2018;Segunda de Carnaval;14:00:00;15:00:00;17:00:00;Av. Glicinia com Estrada do Cabuçu ;Av. Glicinia até entrada do Lameirão ;2.800;2011;
Largo do Machadinho, Mas Não Largo do Suquinho;Catete ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;09:00:00;09:00:00;14:00:00;Largo do Machado;Largo do Machado - Parado;2.000;2011;
Leão da Pedra;Santo Cristo;Centro;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;21:00:00;Rua Rego Barros;Rua Rego Barro e retorna pela Rua Nabuco de Freitas até a origem ;300;2012;
Mocidade Unida de Magalhães Bastos;Magalhães Bastos;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;20:00:00;21:00:00;22:00:00;Estrada General Canrobert da Costa, esquina com Rua Carinhanha;Estrada General Canrobert da Costa sentido Vila Militar até Bonina e retorna a origem ;1.500;2010;
Não deixe o Rock morrer ;Botafogo ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;14:00:00;16:00:00;19:00:00;Rua Alvaro Ramos ;Inicio na Rua Alvaro Ramos, Assis Bueno, Arnaldo Quintela, Rua da Passagem, Rua Alvaro Ramos.;1.500;2018;
Nova Geração do Zumbi;Ilha do Governador;Zona Norte 3;12/02/2018;Segunda-feira de Carnaval;11:00:00;13:00:00;17:00:00;Rua Serrão, esquina com Rua Peixoto de Carvalho;Rua Peixoto de Carvalho, Estrada do Rio Jequiá, Rua Maldonado, Rua Fernandes da Fonseca, Rua Paramopama, Est. Do Jequiá, Peixoto de Carvalho;10.000;2008;
