Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Banda da Barra;Barra da Tijuca;Barra/JPA;04/02/2018;Domingo - 1 semana antes do Carnaval;12:00:00;15:00:00;18:00:00;Em frente ao condomíno Beton (Bondinho da Barra);Saindo do Bondinho da Barra até a Praça do Ó ;50.000;1.984;
Banda da Praça Afonso Pena;Tijuca ;Tijuca e Adj;04/02/2018;Domingo - 1 semana antes do Carnaval;15:00:00;17:00:00;21:00:00;Praça Afonso Pena;Praça Afonso Pena, Rua Professor Satamini, Rua São Francisco Xavier, Largo da 2ª Feira, Rua Haddock Lobo, Rua Campos Sales e Praca Afonso Pena;1.000;1996;
Banda da Praia da Bica;Ilha do Governador;Zona Norte 3;04/02/2018;Sábado - 1- semanas antes do Carnaval;14:00:00;14:00:00;20:00:00;Quiosque Piratas Praia da Bica;Parado;3.000;2001;
Banda do Arroxo;Copacabana ;Zona Sul;04/02/2018;Domingo de Carnaval;14:00:00;15:00:00;20:00:00;Rua Belford Roxo com Ministro Viveiro de Castro ;Rua Belford Roxo, Rua Felipe de Oliveira, Av. Pricesa Isabel, Ministro Viveiro de Castro e Belford Roxo ;1.500;1983;
Bigode Esticado;Méier;Zona Norte 2;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;17:00:00;20:00:00;Rua Adriano 300;Rua Adriano 300, Rua Magalhães Couto, Rua Intendente Cunha Menezes e Rua Adriano. ;1.000;1999;
Blocão de Copacabana;Copacabana ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;09:00:00;09:00:00;11:30:00;Posto 6 de Copacabana (Sofitel);Av Atlantica do Posto 6 ao posto 5;1.000;2004;
Bloco da Chaleira do Vidigal;Leblon ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;15:00:00;18:00:00;Av. Delfim Moreira com Jardim de Alah;Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12);700;1995;
Bloco da Preta;Centro;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;08:00:00;10:00:00;14:00:00;Av. Presidente Antonio Carlos em Frente ao Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;500.000;2010;
Bloco das Cacheadas;Tijuca ;Tijuca e Adj;04/02/2018;Domingo - 1 semana antes do Carnaval;10:00:00;11:00:00;15:00:00;Rua Barão de Mesquita, 320;Rua Barão de Mesquita, Rua General Roca, Rua Desembargador Izidro, e Praça Saens Peña;3.000;2008;
Bloco Favela ;Méier;Zona Norte 2;04/02/2018;Domingo - 1 semana antes do Carnaval;15:00:00;15:00:00;20:00:00;Praça Agripino Grieco;Parado;500;2018;
Bloco Tapa na Peteca ;Bonsucesso;Zona Norte 3;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;17:00:00;20:00:00;R. João Araújo ;Concentração na Rua João Araújo S/N em frente a Associação dos moradores, segue em direção a rua principal, vira a direita na rua Teixeira Ribeiro, segue até o número 650;2.000;2008;
Boka de Espuma;Botafogo ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Marquês de Olinda, esquina com Rua Bambina;Rua Marquês de Olinda, Rua Muniz Barreto, Rua São Clemente, Rua Bambina e Rua Marquês de Olinda;30.000;1984;
Chora Me Liga;Aterro do Flamengo;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;08:00:00;10:00:00;13:00:00;Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista;Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo;40.000;2009;
Empolga às 9;Ipanema ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Em Frente a Rua Joana Angélica ;Parado;2.500;2003;
Escravos da Mauá;Saúde;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Barão de Tefé (entre Venezuela e Boulevard Olímpico);Barão de Tefé (entre Venezuela e Boulevard Olímpico), Venezuela, Sacadura Cabral e Barão de Tefé 27;10.000;1993;
Eu Choro Curto Mas Rio Comprido;Rio Comprido;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;15:00:00;17:00:00;21:00:00;Rua Aristides Lobo, 250;Rua Aristides Lobo seguindo pela mesma até a Rua Maia de Lacerda, fazendo meia volta e retornando até o ponto de origem. ;1.000;2009;
Fala Bobagem;Vila da Penha;Zona Norte 1;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Praça Paulo Setúbal;Desfile no entorno da Praça Paulo Setúbal;900;2011;
Filhos de Ismael;Estácio;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;17:00:00;20:00:00;Praça Compositor Ismael Silva;Segue pela Rua Frei Caneca, Rua Visc. De Pirassununga, Rua Salvador de Sá, Rua do Estácio retorno na Rua São Carlos, Rua do Estácio até a origem.;2.000;2018;
Fogo e Paixão;Centro;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;08:00:00;10:00:00;14:00:00;Largo de São Francisco; Parado;10.000;2011;
Foliões da ABRACES;Copacabana ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;09:00:00;11:00:00;14:00:00;Constante Ramos com Domingos Ferreira ;Saindo da esquina da Contante Ramos com Domingos Ferreira, andar até orla e seguir Av. Atlântica até o posto 2;1.000;2018;
Foliões da Prainha;Saúde;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;10:00:00;10:00:00;16:00:00;Largo São Francisco da Prainha;Parado;500;2014;
Fuzuê da Ilha;Ilha do Governador;Zona Norte 3;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;15:00:00;19:00:00;Praça do Grego;Rua Uça, da Praça do Grego até a Rua Engenheiro Rozauro Zambrano, voltando ao local de concentração;500;2009;
Garganta Seca de Irajá;Irajá;Zona Norte 1;04/02/2018;Domingo - 1 semana antes do Carnaval;13:00:00;15:00:00;19:00:00;Rua Manoel de Araújo;Rua Manoel de Araújo, Rua Hanibal Porto até a Estrada da Água Grande;700;2001;
Gigantes da Lira (infantil);Laranjeiras ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;08:00:00;09:00:00;14:00:00;Praça Jardim Laranjeiras - Rua General Glicério;Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras;6.000;1999;
GRBC Deixa Que Eu Te Atravesso;Brás de Pina;Zona Norte 1;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;17:00:00;20:00:00;Rua Rio Preto;Rua Rio Preto, Rua Brasiléia, Rua Alm. Ingran Margini, Rua Dezoito de Setembro, Rua Valdemar Magrini, até Rua Rio Preto;1.000;2016;
Incha Rola;Anil;Barra/JPA;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Araticum, 703;Rua Araticum, Estrada de Jacarepaguá e Praça Jornalista Geysa Boscoli;1.500;2001;
Larga a Onça, Alfredo!;Laranjeiras ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;15:00:00;18:00:00;20:00:00;Rua Ipiranga, em frente ao nº 49;Rua Ipiranga, Rua Esteves Junior e Praça São Salvador;2.000;2008;
Malandragem do Porto;Santo Cristo;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;16:00:00;22:00:00;Rua Nabuco de Freitas com Marques de Sapucaí;Parado;300;2015;
Morde e Pica Toda Hora ;Jacarepaguá;Barra/JPA;04/02/2018;Domingo - 1 semana antes do Carnaval;15:00:00;15:00:00;21:00:00;Rua Jorge Faraj ;Parado ;200;2012;
Onda Carioca ;Recreio dos Bandeirantes;Barra/JPA;04/02/2018;Domingo - 1 semana antes do Carnaval;10:00:00;11:00:00;16:00:00;Praça Dr. Eurico Alencastro Massot ;Parado;700;2018;
Pipoca e Guanará;Tijuca ;Tijuca e Adj;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;17:00:00;20:00:00;Praça Xavier de Brito;Parado;500;2013;
